Source Audio File,Start,End,Audio File Name,Expected Text,Transcribed Text,Similarity
"VO test -ENG.wav",01:06.759,01:08.260,"EN_009_walk_together.mp3","Let's go for a walk together.","Let's go for a walk together.",1,0000
"VO test -ENG.wav",01:09.199,01:10.840,"EN_001_greeting_morning.mp3","Good morning! How did you sleep?","Good morning. How did you sleep?",0,9781
"VO test -ENG.wav",01:11.780,01:13.260,"EN_010_soup_delicious.mp3","This soup tastes delicious!","This soup tastes delicious.",0,9741
"VO test -ENG.wav",01:14.440,01:15.820,"EN_011_pharmacy_location.mp3","Where is the nearest pharmacy?","Where's the nearest pharmacy?",0,8333
"VO test -ENG.wav",01:16.800,01:18.240,"EN_003_shopping_groceries.mp3","I need to buy some groceries.","I need to buy some groceries.",1,0000
"VO test -ENG.wav",01:19.139,01:21.060,"EN_007_train_arrival.mp3","The train arrives at 3 PM.","The train arrives at 3pm.",0,8731
"VO test -ENG.wav",01:21.839,01:23.580,"EN_018_wait_station.mp3","Please wait for me at the station.","Please wait for me at the station.",1,0000
"VO test -ENG.wav",01:24.380,01:25.900,"EN_019_favorite_color_blue.mp3","My favorite color is blue.","My favorite color is blue.",1,0000
"VO test -ENG.wav",01:26.600,01:28.480,"EN_006_help_task.mp3","Can you help me with this task?","Can you help me with this task?",1,0000
"VO test -ENG.wav",01:29.160,01:30.760,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
"VO test -ENG.wav",01:31.759,01:33.179,"EN_002_weather_sunny.mp3","The weather is beautiful today.","The weather is beautiful today.",1,0000
"VO test -ENG.wav",01:34.160,01:35.459,"EN_015_water_request.mp3","Could I have a glass of water?","Could I have a glass of water?",1,0000
"VO test -ENG.wav",01:36.440,01:37.780,"EN_017_lovely_day.mp3","What a lovely day it is!","What a lovely day it is.",0,9708
"VO test -ENG.wav",01:38.699,01:40.420,"EN_016_software_developer.mp3","I work as a software developer.","I work as a software developer.",1,0000
"VO test -ENG.wav",01:41.179,01:42.700,"EN_020_thank_kindness.mp3","Thank you for your kindness.","Thank you for your kindness.",1,0000
"VO test -ENG.wav",01:43.600,01:45.760,"EN_013_birthday_wishes.mp3","Happy birthday! Wishing you all the best.","Happy birthday wishing you all the best.",0,9829
"VO test -ENG.wav",01:46.639,01:48.400,"EN_005_reading_evening.mp3","She loves reading books in the evening.","She loves reading books in the evening.",1,0000
"VO test -ENG.wav",01:49.359,01:50.980,"EN_014_movie_interesting.mp3","The movie was really interesting.","The movie was really interesting.",1,0000
"VO test -ENG.wav",01:51.800,01:53.080,"EN_004_meeting_time.mp3","What time is the meeting?","What time is the meeting?",1,0000
"VO test -ENG.wav",01:53.900,01:55.340,"EN_012_call_later.mp3","I'll call you later today.","I'll call you later today.",1,0000
"VO test -ENG.wav",01:56.200,01:57.640,"EN_009_walk_together.mp3","Let's go for a walk together.","Let's go for a walk together.",1,0000
"VO test -ENG.wav",01:59.620,02:00.320,"EN_001_greeting_morning.mp3","Good morning! How did you sleep?","How did you sleep?",0,9500
"VO test -ENG.wav",02:01.320,02:02.700,"EN_010_soup_delicious.mp3","This soup tastes delicious!","The soup tastes delicious.",0,8472
"VO test -ENG.wav",02:03.760,02:04.940,"EN_011_pharmacy_location.mp3","Where is the nearest pharmacy?","Where is the nearest pharmacy?",1,0000
"VO test -ENG.wav",02:05.900,02:07.400,"EN_003_shopping_groceries.mp3","I need to buy some groceries.","I need to buy some groceries.",1,0000
"VO test -ENG.wav",02:08.460,02:10.060,"EN_007_train_arrival.mp3","The train arrives at 3 PM.","The train arrives at 3pm.",0,8731
"VO test -ENG.wav",02:11.060,02:12.519,"EN_018_wait_station.mp3","Please wait for me at the station.","Please wait for me at the station.",1,0000
"VO test -ENG.wav",02:13.579,02:14.859,"EN_019_favorite_color_blue.mp3","My favorite color is blue.","My favorite color is blue.",1,0000
"VO test -ENG.wav",02:15.760,02:17.399,"EN_006_help_task.mp3","Can you help me with this task?","Can you help me with this task?",1,0000
"VO test -ENG.wav",02:18.340,02:19.720,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
"VO test -ENG.wav",02:20.320,02:22.139,"EN_002_weather_sunny.mp3","The weather is beautiful today.","The weather is beautiful today.",1,0000
