Source Audio File,Start,End,Audio File Name,Expected Text,Transcribed Text,Similarity
"VO test -ENG.wav",01:24.339,01:25.820,"EN_019_favorite_color_blue.mp3","My favorite color is blue.","My favorite color is blue.",1,0000
"VO test -ENG.wav",01:26.580,01:28.200,"EN_006_help_task.mp3","Can you help me with this task?","Can you help me with this task?",1,0000
"VO test -ENG.wav",01:29.039,01:30.680,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
"VO test -ENG.wav",01:31.399,01:33.100,"EN_002_weather_sunny.mp3","The weather is beautiful today.","The weather is beautiful today.",1,0000
"VO test -ENG.wav",01:33.880,01:35.420,"EN_015_water_request.mp3","Could I have a glass of water?","Could I have a glass of water?",1,0000
"VO test -ENG.wav",01:36.120,01:37.760,"EN_017_lovely_day.mp3","What a lovely day it is!","What a lovely day it is.",0,9708
"VO test -ENG.wav",01:38.419,01:40.280,"EN_016_software_developer.mp3","I work as a software developer.","I work as a software developer.",1,0000
"VO test -ENG.wav",01:41.160,01:42.640,"EN_020_thank_kindness.mp3","Thank you for your kindness.","Thank you for your kindness.",1,0000
"VO test -ENG.wav",01:43.579,01:45.640,"EN_013_birthday_wishes.mp3","Happy birthday! Wishing you all the best.","Happy birthday. Wishing you all the best.",0,9829
"VO test -ENG.wav",01:46.359,01:48.320,"EN_005_reading_evening.mp3","She loves reading books in the evening.","She loves reading books in the evening.",1,0000
"VO test -ENG.wav",01:49.020,01:50.780,"EN_014_movie_interesting.mp3","The movie was really interesting.","The movie was really interesting.",1,0000
"VO test -ENG.wav",01:51.660,01:53.040,"EN_004_meeting_time.mp3","What time is the meeting?","What time is the meeting?",1,0000
"VO test -ENG.wav",01:53.840,01:55.220,"EN_012_call_later.mp3","I'll call you later today.","I'll call you later today.",1,0000
"VO test -ENG.wav",01:56.100,01:57.460,"EN_009_walk_together.mp3","Let's go for a walk together.","Let's go for a walk together.",1,0000
"VO test -ENG.wav",01:57.960,01:58.280,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
"VO test -ENG.wav",01:58.280,02:00.280,"EN_001_greeting_morning.mp3","Good morning! How did you sleep?","Good morning. How did you sleep?",0,9781
"VO test -ENG.wav",02:01.059,02:02.580,"EN_010_soup_delicious.mp3","This soup tastes delicious!","This soup tastes delicious.",0,9741
"VO test -ENG.wav",02:03.419,02:04.840,"EN_011_pharmacy_location.mp3","Where is the nearest pharmacy?","Where is the nearest pharmacy?",1,0000
"VO test -ENG.wav",02:05.740,02:07.280,"EN_003_shopping_groceries.mp3","I need to buy some groceries.","I need to buy some groceries.",1,0000
"VO test -ENG.wav",02:08.080,02:10.139,"EN_007_train_arrival.mp3","The train arrives at 3 PM.","The train arrives at 3 p.m.",0,8884
"VO test -ENG.wav",02:10.720,02:12.399,"EN_018_wait_station.mp3","Please wait for me at the station.","Please wait for me at the station.",1,0000
"VO test -ENG.wav",02:13.260,02:14.780,"EN_019_favorite_color_blue.mp3","My favorite color is blue.","My favorite color is blue.",1,0000
"VO test -ENG.wav",02:15.480,02:17.239,"EN_006_help_task.mp3","Can you help me with this task?","Can you help me with this task?",1,0000
"VO test -ENG.wav",02:18.060,02:19.660,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
"VO test -ENG.wav",02:20.380,02:22.060,"EN_002_weather_sunny.mp3","The weather is beautiful today.","The weather is beautiful today.",1,0000
"VO test -ENG.wav",02:22.079,02:22.320,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
